cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.379999995E-01, 0.000000000E+00, 7.254732560E+04, 8.720363896E-01, 1.430561526E+02, 2.860352879E-01, 2.187359991E+05
         2, 8.339999914E-01, 0.000000000E+00, 7.251523274E+04, 8.720071686E-01, 1.438874967E+02, 2.611637818E-01, 2.187700147E+05
         3, 8.299999833E-01, 0.000000000E+00, 7.245008565E+04, 8.714645455E-01, 1.444463448E+02, 2.360238916E-01, 2.187929910E+05
         4, 8.259999752E-01, 0.000000000E+00, 7.238661798E+04, 8.709261333E-01, 1.449667915E+02, 2.242963067E-01, 2.188144695E+05
         5, 8.220000267E-01, 0.000000000E+00, 7.232340531E+04, 8.703842617E-01, 1.454709845E+02, 2.197806748E-01, 2.188353514E+05
         6, 8.180000186E-01, 0.000000000E+00, 7.225958979E+04, 8.698339240E-01, 1.459712806E+02, 2.193594179E-01, 2.188561438E+05
         7, 8.140000105E-01, 0.000000000E+00, 7.219460050E+04, 8.692714231E-01, 1.464749993E+02, 2.214200780E-01, 2.188771507E+05
         8, 8.100000024E-01, 0.000000000E+00, 7.212803075E+04, 8.686939081E-01, 1.469868054E+02, 2.250815715E-01, 2.188985691E+05
         9, 8.059999943E-01, 0.000000000E+00, 7.205959108E+04, 8.680992824E-01, 1.475098217E+02, 2.298086334E-01, 2.189205338E+05
        10, 8.019999862E-01, 0.000000000E+00, 7.198903806E+04, 8.674856450E-01, 1.480463261E+02, 2.353208038E-01, 2.189431462E+05
        11, 7.979999781E-01, 0.000000000E+00, 7.191616562E+04, 8.668513373E-01, 1.485981044E+02, 2.414586345E-01, 2.189664879E+05
        12, 7.940000296E-01, 0.000000000E+00, 7.184071345E+04, 8.661940486E-01, 1.491669268E+02, 2.482571125E-01, 2.189906417E+05
        13, 7.900000215E-01, 0.000000000E+00, 7.176244041E+04, 8.655116988E-01, 1.497545453E+02, 2.556814209E-01, 2.190156905E+05
        14, 7.860000134E-01, 0.000000000E+00, 7.168111746E+04, 8.648022311E-01, 1.503624189E+02, 2.633533925E-01, 2.190417063E+05
        15, 7.820000052E-01, 0.000000000E+00, 7.159652012E+04, 8.640634971E-01, 1.509916641E+02, 2.714524387E-01, 2.190687479E+05
        16, 7.779999971E-01, 0.000000000E+00, 7.150843807E+04, 8.632936458E-01, 1.516436652E+02, 2.800085689E-01, 2.190968866E+05
        17, 7.739999890E-01, 0.000000000E+00, 7.141665507E+04, 8.624907921E-01, 1.523198735E+02, 2.890248998E-01, 2.191261981E+05
        18, 7.699999809E-01, 0.000000000E+00, 7.132095003E+04, 8.616530135E-01, 1.530217674E+02, 2.984918586E-01, 2.191567610E+05
        19, 7.660000324E-01, 0.000000000E+00, 7.122109838E+04, 8.607783571E-01, 1.537508325E+02, 3.083898425E-01, 2.191886558E+05
        20, 7.620000243E-01, 0.000000000E+00, 7.111687230E+04, 8.598648347E-01, 1.545085419E+02, 3.186945059E-01, 2.192219644E+05
        21, 7.580000162E-01, 0.000000000E+00, 7.100803935E+04, 8.589104060E-01, 1.552963564E+02, 3.293838598E-01, 2.192567700E+05
        22, 7.540000081E-01, 0.000000000E+00, 7.089436144E+04, 8.579129713E-01, 1.561157349E+02, 3.404383489E-01, 2.192931580E+05
        23, 7.500000000E-01, 0.000000000E+00, 7.077559430E+04, 8.568703687E-01, 1.569681415E+02, 3.518374591E-01, 2.193312160E+05
        24, 7.459999919E-01, 0.000000000E+00, 7.065148992E+04, 8.557803996E-01, 1.578550370E+02, 3.635512347E-01, 2.193710338E+05
        25, 7.419999838E-01, 0.000000000E+00, 7.052180779E+04, 8.546409431E-01, 1.587778304E+02, 3.755208901E-01, 2.194127015E+05
        26, 7.379999757E-01, 0.000000000E+00, 7.038634562E+04, 8.534502597E-01, 1.597377350E+02, 3.876329271E-01, 2.194563025E+05
        27, 7.340000272E-01, 0.000000000E+00, 7.024493165E+04, 8.522068706E-01, 1.607357105E+02, 3.997923473E-01, 2.195019115E+05
        28, 7.300000191E-01, 0.000000000E+00, 7.009730086E+04, 8.509082655E-01, 1.617729096E+02, 4.120847594E-01, 2.195496141E+05
        29, 7.260000110E-01, 0.000000000E+00, 6.994329553E+04, 8.495531347E-01, 1.628502547E+02, 4.243600731E-01, 2.195994879E+05
        30, 7.220000029E-01, 0.000000000E+00, 6.978262382E+04, 8.481386641E-01, 1.639689102E+02, 4.367679987E-01, 2.196516244E+05
        31, 7.179999948E-01, 0.000000000E+00, 6.961494988E+04, 8.466616955E-01, 1.651304204E+02, 4.493677175E-01, 2.197061359E+05
        32, 7.139999866E-01, 0.000000000E+00, 6.944009706E+04, 8.451208108E-01, 1.663359056E+02, 4.618995649E-01, 2.197631181E+05
        33, 7.099999785E-01, 0.000000000E+00, 6.925804758E+04, 8.435160803E-01, 1.675855554E+02, 4.741811826E-01, 2.198226254E+05
        34, 7.060000300E-01, 0.000000000E+00, 6.906860569E+04, 8.418454621E-01, 1.688796641E+02, 4.870700622E-01, 2.198847193E+05
        35, 7.020000219E-01, 0.000000000E+00, 6.887169946E+04, 8.401100974E-01, 1.702218934E+02, 5.008072118E-01, 2.199496268E+05
        36, 6.980000138E-01, 0.000000000E+00, 6.866695471E+04, 8.383080126E-01, 1.716169597E+02, 5.146090513E-01, 2.200176339E+05
        37, 6.940000057E-01, 0.000000000E+00, 6.845389163E+04, 8.364337117E-01, 1.730650503E+02, 5.277182174E-01, 2.200888129E+05
        38, 6.899999976E-01, 0.000000000E+00, 6.823237149E+04, 8.344849928E-01, 1.745646527E+02, 5.399098124E-01, 2.201631541E+05
        39, 6.859999895E-01, 0.000000000E+00, 6.800243218E+04, 8.324620158E-01, 1.761146966E+02, 5.511455314E-01, 2.202406698E+05
        40, 6.819999814E-01, 0.000000000E+00, 6.776414340E+04, 8.303652282E-01, 1.777139422E+02, 5.613908022E-01, 2.203213640E+05
        41, 6.780000329E-01, 0.000000000E+00, 6.751747324E+04, 8.281939597E-01, 1.793614297E+02, 5.708009463E-01, 2.204052550E+05
        42, 6.740000248E-01, 0.000000000E+00, 6.726232713E+04, 8.259469833E-01, 1.810566449E+02, 5.795274732E-01, 2.204923843E+05
        43, 6.700000167E-01, 0.000000000E+00, 6.699853276E+04, 8.236223640E-01, 1.827995751E+02, 5.877173103E-01, 2.205828204E+05
        44, 6.660000086E-01, 0.000000000E+00, 6.672591712E+04, 8.212182743E-01, 1.845904570E+02, 5.953816395E-01, 2.206766470E+05
        45, 6.620000005E-01, 0.000000000E+00, 6.644442980E+04, 8.187341837E-01, 1.864291541E+02, 6.023204969E-01, 2.207739302E+05
        46, 6.579999924E-01, 0.000000000E+00, 6.615414500E+04, 8.161707013E-01, 1.883148202E+02, 6.082724298E-01, 2.208746998E+05
        47, 6.539999843E-01, 0.000000000E+00, 6.585529713E+04, 8.135298875E-01, 1.902456791E+02, 6.129069143E-01, 2.209789352E+05
        48, 6.499999762E-01, 0.000000000E+00, 6.554837749E+04, 8.108161987E-01, 1.922185847E+02, 6.157254509E-01, 2.210865383E+05
        49, 6.460000277E-01, 0.000000000E+00, 6.523434193E+04, 8.080385095E-01, 1.942280485E+02, 6.158578490E-01, 2.211972759E+05
        50, 6.420000196E-01, 0.000000000E+00, 6.491505467E+04, 8.052144277E-01, 1.962641374E+02, 6.116492458E-01, 2.213106548E+05
