cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.379926682E-01, 1.636544317E-01, 7.746724502E+04, 9.073391435E-01, 7.167349951E+01, 1.508109674E+00, 2.165505098E+05
         2, 8.359851837E-01, 1.657693833E-01, 7.746724502E+04, 9.073391435E-01, 7.167349951E+01, 1.508109674E+00, 2.165505098E+05
         3, 8.379928470E-01, 1.593477279E-01, 7.746307297E+04, 9.059567914E-01, 6.523596148E+01, 1.540923578E+00, 2.164248404E+05
         4, 8.359855413E-01, 1.614636928E-01, 7.746307297E+04, 9.059567914E-01, 6.523596148E+01, 1.540923578E+00, 2.164248404E+05
         5, 8.379930258E-01, 1.550410390E-01, 7.746024088E+04, 9.048586898E-01, 5.958151699E+01, 1.563639169E+00, 2.163242057E+05
         6, 8.359859586E-01, 1.571579874E-01, 7.746024088E+04, 9.048586898E-01, 5.958151699E+01, 1.563639169E+00, 2.163242057E+05
         7, 8.379932642E-01, 1.507343352E-01, 7.745707577E+04, 9.039904701E-01, 5.475231571E+01, 1.608480138E+00, 2.162454896E+05
         8, 8.359863162E-01, 1.528522968E-01, 7.745707577E+04, 9.039904701E-01, 5.475231571E+01, 1.608480138E+00, 2.162454896E+05
         9, 8.379934430E-01, 1.464276463E-01, 7.745367356E+04, 9.047644418E-01, 5.947483965E+01, 1.874455000E+00, 2.163225469E+05
        10, 8.359867334E-01, 1.485465914E-01, 7.745367356E+04, 9.047644418E-01, 5.947483965E+01, 1.874455000E+00, 2.163225469E+05
        11, 8.379936218E-01, 1.421209425E-01, 7.745049557E+04, 9.073794903E-01, 7.273338169E+01, 2.299329189E+00, 2.165727651E+05
        12, 8.359870911E-01, 1.442409009E-01, 7.745049557E+04, 9.073794903E-01, 7.273338169E+01, 2.299329189E+00, 2.165727651E+05
        13, 8.379938006E-01, 1.378142536E-01, 7.744701194E+04, 9.107372950E-01, 8.672865689E+01, 2.690718741E+00, 2.168912905E+05
        14, 8.359875083E-01, 1.399351954E-01, 7.744701194E+04, 9.107372950E-01, 8.672865689E+01, 2.690718741E+00, 2.168912905E+05
        15, 8.379939795E-01, 1.335075498E-01, 7.744302849E+04, 9.132669892E-01, 9.593149944E+01, 2.937532429E+00, 2.171312015E+05
