cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 0.000000000E+00, 1.382051259E-01, 9.375192460E+04, 1.113368713E+00, 1.155974653E+02,-1.107401080E+00, 2.177233604E+05
         2, 0.000000000E+00, 1.346153915E-01, 9.365838353E+04, 1.112481837E+00, 1.161128496E+02,-8.351428329E-01, 2.177403145E+05
         3, 0.000000000E+00, 1.310256422E-01, 9.358224270E+04, 1.111780813E+00, 1.165780676E+02,-6.673196911E-01, 2.177557155E+05
         4, 0.000000000E+00, 1.274359077E-01, 9.351741684E+04, 1.111197676E+00, 1.170039174E+02,-5.607123286E-01, 2.177698815E+05
         5, 0.000000000E+00, 1.238461584E-01, 9.346010647E+04, 1.110691133E+00, 1.173996417E+02,-4.906992400E-01, 2.177830987E+05
         6, 0.000000000E+00, 1.202564090E-01, 9.340798447E+04, 1.110236218E+00, 1.177716205E+02,-4.428176961E-01, 2.177955670E+05
         7, 0.000000000E+00, 1.166666672E-01, 9.335961069E+04, 1.109817667E+00, 1.181242348E+02,-4.084804253E-01, 2.178074245E+05
         8, 0.000000000E+00, 1.130769253E-01, 9.331408532E+04, 1.109426053E+00, 1.184604805E+02,-3.825288181E-01, 2.178187656E+05
         9, 0.000000000E+00, 1.094871834E-01, 9.327084173E+04, 1.109055498E+00, 1.187823983E+02,-3.618258953E-01, 2.178296543E+05
        10, 0.000000000E+00, 1.058974341E-01, 9.322952108E+04, 1.108702314E+00, 1.190913719E+02,-3.444403566E-01, 2.178401333E+05
        11, 0.000000000E+00, 1.023076922E-01, 9.318989566E+04, 1.108364176E+00, 1.193883343E+02,-3.291686537E-01, 2.178502309E+05
        12, 0.000000000E+00, 9.871795028E-02, 9.315182136E+04, 1.108039618E+00, 1.196739097E+02,-3.152520067E-01, 2.178599651E+05
        13, 0.000000000E+00, 9.512820840E-02, 9.311520788E+04, 1.107727724E+00, 1.199485104E+02,-3.022068039E-01, 2.178693472E+05
