cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.399999738E-01, 1.658461541E-01, 6.642745977E+04, 7.860356297E-01, 1.059632091E+02, 2.265264169E+00, 2.174195220E+05
         2, 8.399999738E-01, 1.615384668E-01, 6.641891500E+04, 7.845698905E-01, 1.009772288E+02, 2.481980084E+00, 2.172725319E+05
         3, 8.399999738E-01, 1.572307646E-01, 6.641139867E+04, 7.830351703E-01, 9.539065585E+01, 2.637018853E+00, 2.171162073E+05
         4, 8.399999738E-01, 1.529230773E-01, 6.640633259E+04, 7.814828855E-01, 8.923549493E+01, 2.728151513E+00, 2.169542235E+05
         5, 8.399999738E-01, 1.486153901E-01, 6.640038916E+04, 7.795899162E-01, 8.105085302E+01, 2.779753442E+00, 2.167555149E+05
         6, 8.399999738E-01, 1.443076879E-01, 6.639150972E+04, 7.797893539E-01, 8.246177355E+01, 3.103945160E+00, 2.167886856E+05
         7, 8.399999738E-01, 1.400000006E-01, 6.638661948E+04, 7.837257598E-01, 9.918856145E+01, 3.707933528E+00, 2.172225581E+05
         8, 8.399999738E-01, 1.356923133E-01, 6.638252980E+04, 7.875966027E-01, 1.130963276E+02, 4.140740440E+00, 2.176440619E+05
         9, 8.399999738E-01, 1.313846111E-01, 6.637821744E+04, 7.884979818E-01, 1.162053525E+02, 4.272919678E+00, 2.177458822E+05
        10, 8.399999738E-01, 1.270769238E-01, 6.636898995E+04, 7.868804707E-01, 1.112325895E+02, 4.241698068E+00, 2.175845621E+05
        11, 8.399999738E-01, 1.227692291E-01, 6.635974710E+04, 7.874020573E-01, 1.133390700E+02, 4.364474268E+00, 2.176521715E+05
        12, 8.399999738E-01, 1.184615418E-01, 6.635456427E+04, 7.903554851E-01, 1.228744741E+02, 4.591947840E+00, 2.179736576E+05
        13, 8.399999738E-01, 1.141538471E-01, 6.635094413E+04, 7.924505737E-01, 1.291733213E+02, 4.692965600E+00, 2.182001878E+05
        14, 8.399999738E-01, 1.098461524E-01, 6.634740600E+04, 7.918853722E-01, 1.276671020E+02, 4.597859539E+00, 2.181448951E+05
        15, 8.399999738E-01, 1.055384651E-01, 6.634181568E+04, 7.895604250E-01, 1.209145195E+02, 4.391937438E+00, 2.179052639E+05
        16, 8.399999738E-01, 1.012307703E-01, 6.633354920E+04, 7.884927145E-01, 1.178854506E+02, 4.275456743E+00, 2.178019701E+05
        17, 8.399999738E-01, 9.692307562E-02, 6.632898861E+04, 7.909476853E-01, 1.255704419E+02, 4.340701646E+00, 2.180688523E+05
        18, 8.399999738E-01, 9.261538833E-02, 6.632705802E+04, 7.941645979E-01, 1.347834747E+02, 4.396871229E+00, 2.184109745E+05
        19, 8.399999738E-01, 8.830769360E-02, 6.632485845E+04, 7.951090036E-01, 1.374130990E+02, 4.312792695E+00, 2.185129411E+05
        20, 8.399999738E-01, 8.399999887E-02, 6.632226090E+04, 7.936093344E-01, 1.334231845E+02, 4.096788304E+00, 2.183585844E+05
        21, 8.399999738E-01, 7.969231158E-02, 6.631873015E+04, 7.911525973E-01, 1.265519646E+02, 3.823449600E+00, 2.181035391E+05
        22, 8.399999738E-01, 7.538461685E-02, 6.631222076E+04, 7.900653875E-01, 1.235545510E+02, 3.627309064E+00, 2.179964258E+05
        23, 8.399999738E-01, 7.107692212E-02, 6.630923397E+04, 7.932021904E-01, 1.327400750E+02, 3.600176828E+00, 2.183321116E+05
        24, 8.399999738E-01, 6.676923484E-02, 6.630858564E+04, 7.972641950E-01, 1.435706632E+02, 3.582086115E+00, 2.187588449E+05
        25, 8.399999738E-01, 6.246153638E-02, 6.630685999E+04, 7.986083881E-01, 1.470040991E+02, 3.463197148E+00, 2.189009953E+05
        26, 8.399999738E-01, 5.815384537E-02, 6.630369206E+04, 7.973574796E-01, 1.439654306E+02, 3.254693106E+00, 2.187747126E+05
        27, 8.399999738E-01, 5.384615436E-02, 6.630042639E+04, 7.953586066E-01, 1.388918329E+02, 3.000913879E+00, 2.185698375E+05
        28, 8.399999738E-01, 4.953845963E-02, 6.629822347E+04, 7.936654218E-01, 1.344056972E+02, 2.727408613E+00, 2.183947769E+05
        29, 8.399999738E-01, 4.523076862E-02, 6.629727002E+04, 7.922701360E-01, 1.305495375E+02, 2.438536241E+00, 2.182488662E+05
        30, 8.399999738E-01, 4.092307761E-02, 6.629435211E+04, 7.911212752E-01, 1.273505626E+02, 2.160275972E+00, 2.181310346E+05
        31, 8.399999738E-01, 3.661538288E-02, 6.629232753E+04, 7.942570567E-01, 1.362233333E+02, 1.983692136E+00, 2.184644237E+05
        32, 8.399999738E-01, 3.230769187E-02, 6.629231106E+04, 7.998901495E-01, 1.505963742E+02, 1.861740097E+00, 2.190522295E+05
        33, 8.399999738E-01, 2.800000086E-02, 6.629164711E+04, 8.020122316E-01, 1.556386808E+02, 1.702869090E+00, 2.192723450E+05
        34, 8.399999738E-01, 2.369230799E-02, 6.628943839E+04, 8.003001505E-01, 1.516687158E+02, 1.499313467E+00, 2.190982778E+05
        35, 8.399999738E-01, 1.938461512E-02, 6.628629978E+04, 7.978352830E-01, 1.457295487E+02, 1.273545851E+00, 2.188463109E+05
        36, 8.399999738E-01, 1.507692318E-02, 6.628257097E+04, 7.962056120E-01, 1.416967940E+02, 1.039237536E+00, 2.186809408E+05
        37, 8.399999738E-01, 1.076923031E-02, 6.627754459E+04, 7.952825544E-01, 1.394459383E+02, 8.000361588E-01, 2.185906379E+05
        38, 8.399999738E-01, 6.461538374E-03, 6.626863209E+04, 7.945781359E-01, 1.378624423E+02, 5.603082575E-01, 2.185279724E+05
        39, 8.399999738E-01, 2.153846202E-03, 6.623910669E+04, 7.932533207E-01, 1.352422637E+02, 3.805689947E-01, 2.184259047E+05
