cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.379924893E-01, 1.679611206E-01, 6.085401563E+04, 7.227051965E-01, 1.156529391E+02, 2.496566795E+00, 2.177259048E+05
         2, 8.339772224E-01, 1.678813249E-01, 6.087148026E+04, 7.227502057E-01, 1.150747172E+02, 2.639105427E+00, 2.177069844E+05
         3, 8.299618363E-01, 1.677954644E-01, 6.090410025E+04, 7.230348934E-01, 1.147039080E+02, 2.888335782E+00, 2.176950306E+05
         4, 8.259466887E-01, 1.676994562E-01, 6.093243363E+04, 7.232819522E-01, 1.143758331E+02, 3.250024600E+00, 2.176846298E+05
         5, 8.219318986E-01, 1.675892770E-01, 6.095560558E+04, 7.234837133E-01, 1.140994221E+02, 3.723700502E+00, 2.176760951E+05
         6, 8.179177046E-01, 1.674608588E-01, 6.097259167E+04, 7.236311785E-01, 1.138849016E+02, 4.308913765E+00, 2.176697912E+05
         7, 8.139042258E-01, 1.673101485E-01, 6.098208826E+04, 7.237127073E-01, 1.137446060E+02, 5.004702826E+00, 2.176661612E+05
         8, 8.098918796E-01, 1.671330780E-01, 6.098225402E+04, 7.237115069E-01, 1.136950721E+02, 5.807466716E+00, 2.176657924E+05
         9, 8.058809638E-01, 1.669256389E-01, 6.097027024E+04, 7.236013742E-01, 1.137609558E+02, 6.703911962E+00, 2.176695287E+05
        10, 8.018719554E-01, 1.666846871E-01, 6.094523218E+04, 7.233763566E-01, 1.139602188E+02, 7.647806517E+00, 2.176779312E+05
        11, 7.978650928E-01, 1.664096862E-01, 6.091017066E+04, 7.230685478E-01, 1.142816490E+02, 8.582182808E+00, 2.176905556E+05
        12, 7.938606739E-01, 1.661018580E-01, 6.086651054E+04, 7.226895587E-01, 1.147065095E+02, 9.499032003E+00, 2.177067930E+05
        13, 7.898587584E-01, 1.657626033E-01, 6.081501220E+04, 7.222448439E-01, 1.152218575E+02, 1.039670216E+01, 2.177262372E+05
        14, 7.858595252E-01, 1.653933227E-01, 6.075613319E+04, 7.217376294E-01, 1.158195423E+02, 1.127444978E+01, 2.177486417E+05
        15, 7.818629742E-01, 1.649954021E-01, 6.069023920E+04, 7.211707549E-01, 1.164938189E+02, 1.213231012E+01, 2.177738427E+05
        16, 7.778692842E-01, 1.645702422E-01, 6.061768361E+04, 7.205471759E-01, 1.172397927E+02, 1.297070337E+01, 2.178017079E+05
        17, 7.738783956E-01, 1.641191989E-01, 6.053889120E+04, 7.198706513E-01, 1.180523273E+02, 1.379057381E+01, 2.178320998E+05
        18, 7.698903680E-01, 1.636436582E-01, 6.045430924E+04, 7.191451439E-01, 1.189258499E+02, 1.459453026E+01, 2.178648734E+05
        19, 7.659052014E-01, 1.631447971E-01, 6.036383811E+04, 7.183690941E-01, 1.198573994E+02, 1.539094531E+01, 2.178999990E+05
        20, 7.619228959E-01, 1.626234353E-01, 6.026699271E+04, 7.175375512E-01, 1.208481084E+02, 1.618664230E+01, 2.179375882E+05
        21, 7.579435110E-01, 1.620802283E-01, 6.016347336E+04, 7.166479314E-01, 1.219001943E+02, 1.698286329E+01, 2.179777738E+05
        22, 7.539670467E-01, 1.615158468E-01, 6.005299254E+04, 7.156977304E-01, 1.230155845E+02, 1.778047429E+01, 2.180206833E+05
        23, 7.499936223E-01, 1.609309465E-01, 5.993525478E+04, 7.146843346E-01, 1.241960610E+02, 1.858023837E+01, 2.180664454E+05
        24, 7.460231185E-01, 1.603261679E-01, 5.980994764E+04, 7.136049526E-01, 1.254433896E+02, 1.938285395E+01, 2.181151942E+05
        25, 7.420555949E-01, 1.597021818E-01, 5.967673524E+04, 7.124565629E-01, 1.267594034E+02, 2.018897988E+01, 2.181670731E+05
        26, 7.380910516E-01, 1.590596139E-01, 5.953525309E+04, 7.112358722E-01, 1.281460596E+02, 2.099925236E+01, 2.182222372E+05
        27, 7.341294289E-01, 1.583991349E-01, 5.938510367E+04, 7.099392755E-01, 1.296054806E+02, 2.181429695E+01, 2.182808556E+05
        28, 7.301707864E-01, 1.577214003E-01, 5.922585218E+04, 7.085628191E-01, 1.311399864E+02, 2.263473733E+01, 2.183431133E+05
        29, 7.262149453E-01, 1.570270360E-01, 5.905702247E+04, 7.071021613E-01, 1.327521222E+02, 2.346120148E+01, 2.184092131E+05
        30, 7.222619653E-01, 1.563166976E-01, 5.887809292E+04, 7.055525342E-01, 1.344446826E+02, 2.429432294E+01, 2.184793779E+05
        31, 7.183117867E-01, 1.555910408E-01, 5.868849296E+04, 7.039087093E-01, 1.362207326E+02, 2.513472460E+01, 2.185538526E+05
        32, 7.143642902E-01, 1.548507065E-01, 5.848759522E+04, 7.021649169E-01, 1.380836561E+02, 2.598293080E+01, 2.186329064E+05
        33, 7.104194760E-01, 1.540963054E-01, 5.827473912E+04, 7.003150474E-01, 1.400370045E+02, 2.683886473E+01, 2.187168246E+05
