cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.379999995E-01, 0.000000000E+00, 6.553951221E+04, 7.850263839E-01, 1.356583955E+02, 3.877138309E-01, 2.184419829E+05
         2, 8.339999914E-01, 0.000000000E+00, 6.550378355E+04, 7.850126293E-01, 1.367922876E+02, 3.563836733E-01, 2.184860335E+05
         3, 8.299999833E-01, 0.000000000E+00, 6.542870631E+04, 7.843882886E-01, 1.375412656E+02, 3.233260854E-01, 2.185153307E+05
         4, 8.259999752E-01, 0.000000000E+00, 6.535536403E+04, 7.837675420E-01, 1.382408857E+02, 3.081394214E-01, 2.185428434E+05
         5, 8.220000267E-01, 0.000000000E+00, 6.528218309E+04, 7.831420000E-01, 1.389199801E+02, 3.023489655E-01, 2.185696832E+05
         6, 8.180000186E-01, 0.000000000E+00, 6.520824371E+04, 7.825064129E-01, 1.395943129E+02, 3.017704616E-01, 2.185964654E+05
         7, 8.140000105E-01, 0.000000000E+00, 6.513294303E+04, 7.818569346E-01, 1.402730104E+02, 3.042883604E-01, 2.186235521E+05
         8, 8.100000024E-01, 0.000000000E+00, 6.505584538E+04, 7.811905029E-01, 1.409618188E+02, 3.088030024E-01, 2.186511769E+05
         9, 8.059999943E-01, 0.000000000E+00, 6.497660567E+04, 7.805045052E-01, 1.416647172E+02, 3.147246722E-01, 2.186795064E+05
        10, 8.019999862E-01, 0.000000000E+00, 6.489491849E+04, 7.797964835E-01, 1.423847795E+02, 3.217427360E-01, 2.187086739E+05
        11, 7.979999781E-01, 0.000000000E+00, 6.481049779E+04, 7.790640500E-01, 1.431246130E+02, 3.296798760E-01, 2.187387964E+05
        12, 7.940000296E-01, 0.000000000E+00, 6.472307936E+04, 7.783049729E-01, 1.438865088E+02, 3.384094537E-01, 2.187699803E+05
        13, 7.900000215E-01, 0.000000000E+00, 6.463239110E+04, 7.775168888E-01, 1.446726288E+02, 3.478838520E-01, 2.188023294E+05
        14, 7.860000134E-01, 0.000000000E+00, 6.453815749E+04, 7.766973899E-01, 1.454850943E+02, 3.580605399E-01, 2.188359478E+05
        15, 7.820000052E-01, 0.000000000E+00, 6.444011935E+04, 7.758442346E-01, 1.463259158E+02, 3.688545640E-01, 2.188709379E+05
        16, 7.779999971E-01, 0.000000000E+00, 6.433804200E+04, 7.749554110E-01, 1.471969025E+02, 3.801629219E-01, 2.189073959E+05
        17, 7.739999890E-01, 0.000000000E+00, 6.423167612E+04, 7.740287158E-01, 1.480997957E+02, 3.919503229E-01, 2.189454180E+05
        18, 7.699999809E-01, 0.000000000E+00, 6.412079144E+04, 7.730621437E-01, 1.490362249E+02, 4.041311634E-01, 2.189850979E+05
        19, 7.660000324E-01, 0.000000000E+00, 6.400517187E+04, 7.720538091E-01, 1.500076605E+02, 4.166177906E-01, 2.190265255E+05
        20, 7.620000243E-01, 0.000000000E+00, 6.388461628E+04, 7.710019516E-01, 1.510154077E+02, 4.293265863E-01, 2.190697861E+05
        21, 7.580000162E-01, 0.000000000E+00, 6.375892588E+04, 7.699048049E-01, 1.520606593E+02, 4.422072277E-01, 2.191149626E+05
        22, 7.540000081E-01, 0.000000000E+00, 6.362787954E+04, 7.687603540E-01, 1.531446365E+02, 4.552626379E-01, 2.191621421E+05
        23, 7.500000000E-01, 0.000000000E+00, 6.349125180E+04, 7.675665537E-01, 1.542685923E+02, 4.684712065E-01, 2.192114155E+05
        24, 7.459999919E-01, 0.000000000E+00, 6.334881344E+04, 7.663213239E-01, 1.554337802E+02, 4.817919997E-01, 2.192628769E+05
        25, 7.419999838E-01, 0.000000000E+00, 6.320037223E+04, 7.650229665E-01, 1.566412720E+02, 4.951056564E-01, 2.193166152E+05
        26, 7.379999757E-01, 0.000000000E+00, 6.304576618E+04, 7.636700470E-01, 1.578918710E+02, 5.083055999E-01, 2.193727102E+05
        27, 7.340000272E-01, 0.000000000E+00, 6.288480828E+04, 7.622608129E-01, 1.591863290E+02, 5.214208372E-01, 2.194312424E+05
        28, 7.300000191E-01, 0.000000000E+00, 6.271726771E+04, 7.607930596E-01, 1.605255736E+02, 5.346498786E-01, 2.194923026E+05
        29, 7.260000110E-01, 0.000000000E+00, 6.254304207E+04, 7.592659339E-01, 1.619100349E+02, 5.471689423E-01, 2.195559620E+05
