cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.379926682E-01, 1.636544317E-01, 6.573266919E+04, 7.784836228E-01, 1.083400042E+02, 2.323857160E+00, 2.174921974E+05
         2, 8.359851837E-01, 1.657693833E-01, 6.573266919E+04, 7.784836228E-01, 1.083400042E+02, 2.323857160E+00, 2.174921974E+05
         3, 8.379928470E-01, 1.593477279E-01, 6.572352541E+04, 7.773928809E-01, 1.048233932E+02, 2.590777268E+00, 2.173854881E+05
         4, 8.359855413E-01, 1.614636928E-01, 6.572352541E+04, 7.773928809E-01, 1.048233932E+02, 2.590777268E+00, 2.173854881E+05
         5, 8.379930258E-01, 1.550410390E-01, 6.571497277E+04, 7.760611819E-01, 1.002340828E+02, 2.780240673E+00, 2.172514343E+05
         6, 8.359859586E-01, 1.571579874E-01, 6.571497277E+04, 7.760611819E-01, 1.002340828E+02, 2.780240673E+00, 2.172514343E+05
         7, 8.379932642E-01, 1.507343352E-01, 6.570878570E+04, 7.746045889E-01, 9.479260812E+01, 2.892421198E+00, 2.171001911E+05
         8, 8.359863162E-01, 1.528522968E-01, 6.570878570E+04, 7.746045889E-01, 9.479260812E+01, 2.892421198E+00, 2.171001911E+05
         9, 8.379934430E-01, 1.464276463E-01, 6.570473843E+04, 7.726091661E-01, 8.652124750E+01, 2.907562102E+00, 2.168863417E+05
        10, 8.359867334E-01, 1.485465914E-01, 6.570473843E+04, 7.726091661E-01, 8.652124750E+01, 2.907562102E+00, 2.168863417E+05
        11, 8.379936218E-01, 1.421209425E-01, 6.569387146E+04, 7.709741183E-01, 7.949344779E+01, 3.045171499E+00, 2.167200822E+05
        12, 8.359870911E-01, 1.442409009E-01, 6.569387146E+04, 7.709741183E-01, 7.949344779E+01, 3.045171499E+00, 2.167200822E+05
        13, 8.379938006E-01, 1.378142536E-01, 6.568830461E+04, 7.744481948E-01, 9.510980204E+01, 3.668249623E+00, 2.171095070E+05
        14, 8.359875083E-01, 1.399351954E-01, 6.568830461E+04, 7.744481948E-01, 9.510980204E+01, 3.668249623E+00, 2.171095070E+05
        15, 8.379939795E-01, 1.335075498E-01, 6.568415294E+04, 7.791594535E-01, 1.125853904E+02, 4.210753403E+00, 2.176277043E+05
        16, 8.359878659E-01, 1.356295049E-01, 6.568415294E+04, 7.791594535E-01, 1.125853904E+02, 4.210753403E+00, 2.176277043E+05
        17, 8.379942179E-01, 1.292008609E-01, 6.567953209E+04, 7.812954440E-01, 1.197127364E+02, 4.441416787E+00, 2.178640906E+05
