cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 0.000000000E+00, 1.382051259E-01, 9.375192459E+04, 1.113368713E+00, 1.155974654E+02,-1.107401082E+00, 2.177233604E+05
         2, 0.000000000E+00, 1.346153915E-01, 9.365838352E+04, 1.112481837E+00, 1.161128497E+02,-8.351428339E-01, 2.177403145E+05
         3, 0.000000000E+00, 1.310256422E-01, 9.358224268E+04, 1.111780813E+00, 1.165780677E+02,-6.673196920E-01, 2.177557155E+05
         4, 0.000000000E+00, 1.274359077E-01, 9.351741683E+04, 1.111197676E+00, 1.170039175E+02,-5.607123293E-01, 2.177698815E+05
         5, 0.000000000E+00, 1.238461584E-01, 9.346010645E+04, 1.110691133E+00, 1.173996418E+02,-4.906992406E-01, 2.177830987E+05
         6, 0.000000000E+00, 1.202564090E-01, 9.340798446E+04, 1.110236217E+00, 1.177716206E+02,-4.428176967E-01, 2.177955670E+05
         7, 0.000000000E+00, 1.166666672E-01, 9.335961068E+04, 1.109817667E+00, 1.181242349E+02,-4.084804258E-01, 2.178074245E+05
         8, 0.000000000E+00, 1.130769253E-01, 9.331408531E+04, 1.109426052E+00, 1.184604806E+02,-3.825288186E-01, 2.178187656E+05
         9, 0.000000000E+00, 1.094871834E-01, 9.327084171E+04, 1.109055498E+00, 1.187823984E+02,-3.618258958E-01, 2.178296543E+05
        10, 0.000000000E+00, 1.058974341E-01, 9.322952106E+04, 1.108702314E+00, 1.190913720E+02,-3.444403570E-01, 2.178401333E+05
        11, 0.000000000E+00, 1.023076922E-01, 9.318989564E+04, 1.108364176E+00, 1.193883345E+02,-3.291686541E-01, 2.178502309E+05
        12, 0.000000000E+00, 9.871795028E-02, 9.315182135E+04, 1.108039618E+00, 1.196739099E+02,-3.152520072E-01, 2.178599651E+05
        13, 0.000000000E+00, 9.512820840E-02, 9.311520787E+04, 1.107727724E+00, 1.199485106E+02,-3.022068043E-01, 2.178693472E+05
        14, 0.000000000E+00, 9.153845906E-02, 9.307999980E+04, 1.107427929E+00, 1.202124043E+02,-2.897217984E-01, 2.178783838E+05
        15, 0.000000000E+00, 8.794871718E-02, 9.304616451E+04, 1.107139897E+00, 1.204657598E+02,-2.775951920E-01, 2.178870783E+05
        16, 0.000000000E+00, 8.435897529E-02, 9.301368427E+04, 1.106863440E+00, 1.207086791E+02,-2.656953711E-01, 2.178954319E+05
        17, 0.000000000E+00, 8.076923341E-02, 9.298255113E+04, 1.106598466E+00, 1.209412182E+02,-2.539362353E-01, 2.179034443E+05
        18, 0.000000000E+00, 7.717949152E-02, 9.295276344E+04, 1.106344948E+00, 1.211634034E+02,-2.422614937E-01, 2.179111143E+05
        19, 0.000000000E+00, 7.358974218E-02, 9.292432364E+04, 1.106102898E+00, 1.213752405E+02,-2.306345478E-01, 2.179184402E+05
        20, 0.000000000E+00, 7.000000030E-02, 9.289723671E+04, 1.105872352E+00, 1.215767225E+02,-2.190319073E-01, 2.179254199E+05
        21, 0.000000000E+00, 6.641025841E-02, 9.287150913E+04, 1.105653363E+00, 1.217678344E+02,-2.074388628E-01, 2.179320510E+05
        22, 0.000000000E+00, 6.282051653E-02, 9.284714824E+04, 1.105445994E+00, 1.219485564E+02,-1.958466189E-01, 2.179383313E+05
