cellnumber,    x-coordinate,    y-coordinate,        pressure,         density,  axial-velocity, radial-velocity,    total-energy
         1, 8.399999738E-01, 1.658461541E-01, 8.026963455E+04, 9.400430228E-01, 7.114170765E+01, 1.507771035E+00, 2.165396810E+05
         2, 8.399999738E-01, 1.615384668E-01, 8.026460761E+04, 9.390920156E-01, 6.702219537E+01, 1.608420147E+00, 2.164585612E+05
         3, 8.399999738E-01, 1.572307646E-01, 8.026042740E+04, 9.386763226E-01, 6.524876249E+01, 1.720842553E+00, 2.164251639E+05
         4, 8.399999738E-01, 1.529230773E-01, 8.025695002E+04, 9.380901674E-01, 6.251836713E+01, 1.777278719E+00, 2.163754446E+05
         5, 8.399999738E-01, 1.486153901E-01, 8.025388478E+04, 9.375125470E-01, 5.967989200E+01, 1.817733771E+00, 2.163260029E+05
         6, 8.399999738E-01, 1.443076879E-01, 8.025035870E+04, 9.377312824E-01, 6.105365380E+01, 1.959161616E+00, 2.163497309E+05
         7, 8.399999738E-01, 1.400000006E-01, 8.024698520E+04, 9.395966853E-01, 7.030562672E+01, 2.264669978E+00, 2.165232239E+05
         8, 8.399999738E-01, 1.356923133E-01, 8.024363661E+04, 9.426487481E-01, 8.309763115E+01, 2.612757201E+00, 2.168032991E+05
         9, 8.399999738E-01, 1.313846111E-01, 8.023983957E+04, 9.455733257E-01, 9.369220340E+01, 2.876864345E+00, 2.170706013E+05
        10, 8.399999738E-01, 1.270769238E-01, 8.023572036E+04, 9.472666283E-01, 9.935632369E+01, 3.008404151E+00, 2.172266398E+05
        11, 8.399999738E-01, 1.227692291E-01, 8.023165217E+04, 9.475188180E-01, 1.002985293E+02, 3.022345472E+00, 2.172534775E+05
        12, 8.399999738E-01, 1.184615418E-01, 8.022723802E+04, 9.470251219E-01, 9.890997300E+01, 2.980391775E+00, 2.172139960E+05
        13, 8.399999738E-01, 1.141538471E-01, 8.022270403E+04, 9.472479008E-01, 9.978220763E+01, 2.976167530E+00, 2.172387063E+05
        14, 8.399999738E-01, 1.098461524E-01, 8.021878939E+04, 9.488754226E-01, 1.048984819E+02, 3.039269720E+00, 2.173880937E+05
        15, 8.399999738E-01, 1.055384651E-01, 8.021540327E+04, 9.511370505E-01, 1.115252654E+02, 3.112074124E+00, 2.175926764E+05
        16, 8.399999738E-01, 1.012307703E-01, 8.021207948E+04, 9.527995289E-01, 1.161642575E+02, 3.132365939E+00, 2.177433179E+05
        17, 8.399999738E-01, 9.692307562E-02, 8.020879982E+04, 9.532611137E-01, 1.174923154E+02, 3.080213996E+00, 2.177875224E+05
        18, 8.399999738E-01, 9.261538833E-02, 8.020583459E+04, 9.527068232E-01, 1.161191355E+02, 2.968650825E+00, 2.177416807E+05
        19, 8.399999738E-01, 8.830769360E-02, 8.020289617E+04, 9.517578332E-01, 1.136549957E+02, 2.830175740E+00, 2.176608255E+05
        20, 8.399999738E-01, 8.399999887E-02, 8.019971921E+04, 9.515326587E-01, 1.131443960E+02, 2.717764019E+00, 2.176442228E+05
        21, 8.399999738E-01, 7.969231158E-02, 8.019697807E+04, 9.529649428E-01, 1.170915842E+02, 2.665641250E+00, 2.177737774E+05
        22, 8.399999738E-01, 7.538461685E-02, 8.019485003E+04, 9.554557032E-01, 1.235500221E+02, 2.642427079E+00, 2.179953876E+05
        23, 8.399999738E-01, 7.107692212E-02, 8.019276533E+04, 9.574989682E-01, 1.285929213E+02, 2.595969224E+00, 2.181766759E+05
        24, 8.399999738E-01, 6.676923484E-02, 8.019038654E+04, 9.582380798E-01, 1.304109841E+02, 2.504368495E+00, 2.182437584E+05
        25, 8.399999738E-01, 6.246153638E-02, 8.018783526E+04, 9.578833404E-01, 1.296495494E+02, 2.374438622E+00, 2.182154299E+05
        26, 8.399999738E-01, 5.815384537E-02, 8.018541501E+04, 9.570900584E-01, 1.278314138E+02, 2.221816960E+00, 2.181485728E+05
        27, 8.399999738E-01, 5.384615436E-02, 8.018336322E+04, 9.563389528E-01, 1.260761151E+02, 2.057881918E+00, 2.180849173E+05
        28, 8.399999738E-01, 4.953845963E-02, 8.018178009E+04, 9.557816338E-01, 1.247583069E+02, 1.887230783E+00, 2.180376840E+05
        29, 8.399999738E-01, 4.523076862E-02, 8.018059930E+04, 9.553959746E-01, 1.238404697E+02, 1.711766352E+00, 2.180050560E+05
        30, 8.399999738E-01, 4.092307761E-02, 8.017910669E+04, 9.553235146E-01, 1.237066548E+02, 1.540744147E+00, 2.180002530E+05
        31, 8.399999738E-01, 3.661538288E-02, 8.017763064E+04, 9.570827024E-01, 1.280482805E+02, 1.402035858E+00, 2.181560626E+05
        32, 8.399999738E-01, 3.230769187E-02, 8.017656244E+04, 9.603409225E-01, 1.356377002E+02, 1.288799045E+00, 2.184413979E+05
        33, 8.399999738E-01, 2.800000086E-02, 8.017542749E+04, 9.624169050E-01, 1.402462766E+02, 1.167286891E+00, 2.186226641E+05
        34, 8.399999738E-01, 2.369230799E-02, 8.017385120E+04, 9.622720733E-01, 1.399746000E+02, 1.025801284E+00, 2.186117634E+05
        35, 8.399999738E-01, 1.938461512E-02, 8.017178323E+04, 9.609782212E-01, 1.371919292E+02, 8.705862176E-01, 2.185017375E+05
        36, 8.399999738E-01, 1.507692318E-02, 8.016913439E+04, 9.597166961E-01, 1.344329574E+02, 7.087617372E-01, 2.183948343E+05
        37, 8.399999738E-01, 1.076923031E-02, 8.016536246E+04, 9.588575841E-01, 1.325713545E+02, 5.435554467E-01, 2.183239237E+05
        38, 8.399999738E-01, 6.461538374E-03, 8.015854829E+04, 9.582504867E-01, 1.313535109E+02, 3.784128351E-01, 2.182780670E+05
        39, 8.399999738E-01, 2.153846202E-03, 8.013572404E+04, 9.574880904E-01, 1.302071550E+02, 2.559639667E-01, 2.182352979E+05
